"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Australia","AUS","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","11.727","11.352","10.181","13.279","19.399","17.516","15.561","15.268","15.039","13.374","10.659","13.23","18.561","20.765","19.715","17.424","15.537","16.41","16.93","15.315","13.745","12.894","14.594","13.792","12.608","11.846","10.886","10.552","9.476","9.017","12.482","11.947","11.94","12.456","13.041","14.11","14.241","13.834","13.679","12.79","12.279","14.999","12.512","9.326","9.175","10.474",
"Austria","AUT","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","4.3","4.66","4.94","4.2","3.54","4.64","4.19","3.59","3.8","3.98","4.24","4.73","4.707","5.684","7.149","7.792","7.404","5.542","6.918","6.224","7.665","8.035","11.138","11.863","10.199","9.517","8.761","11.562","9.851","9.102","9.763","9.51","10.914","11.58","12.35","10.964","9.687","9.518","11.453","11.772","10.355","10.691","10.421",
"Azerbaijan","AZE","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.04","19.18","18.95","18.7","17.21","15.62","14.6","15.23","15.32","15.63","12.85","13.9","14.23","12.19","","11.48","11.39","","","","10.36","12.98","12.87","12.1","","",
"Burundi","BDI","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.97","","","","","","","","","","","","","","","","5.409","","","","","","","","4.408","","","","","","2.091","","","","",
"Belgium","BEL","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","19.337","20.498","17.673","15.528","14.671","12.967","11.37","10.108","11.024","11.309","17.408","20.546","19.666","17.277","17.619","18.27","22.686","12.871","14.321","16.031","20.071","15.756","21","18.803","17.103","17.346","21.487","22.426","18.725","20.435","24.706","23.988","23.801","21.748","20.225","16.167","15.961","15.51","19.92","18.118","17.619","19.646",
"Benin","BEN","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0.29","","","","","","2.45","","","","","","","","","","1.07","","","","","","","","1.53","5.212","","4.407","","","","","","1.896","","","3.608","","",
"Burkina Faso","BFA","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.644","","","","","","","","5.277","","","","8.88","1.922","","","3.703","8.313","4.889",
"Bangladesh","BGD","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","1.75","","","2.77","","","","","","","7.99","","","","11.05","","","6.99","","8","6.121","","","","5.949","6.313","","10.08","","","10.11","10.781","","","","","14.924","11.517","",
"Bulgaria","BGR","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.097","42.757","38.96","29.421","24.992","23.352","18.891","14.47","13.72","17.772","23.212","26.003","29.519","30.2","23.798","21.244","17.426","13.25","13.197","9.226","14.586","16.177","10.777","12.77","12.755",
"Bahrain","BHR","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.47","","2.61","","","","","","","","","","","","",
"Bahamas, The","BHS","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.22","21.21","23.8","20.46","21.95","18.47","18.58","16.55","10.25","10.61","","14.05","","20.29","","16.92","","16.67","14.58","22.85","","25.38","29.61","","","","20.827","","","18.961","","","","18.636","",
"Bosnia and Herzegovina","BIH","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.144","","","","","60.185","55.603","44.793","46.438","55.477","56.436","62.635","59.082","60.985","59.525","52.048","43.111","35.449","31.269","32.463","31.686","27.974","25.717","",
"Belarus","BLR","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.654","11.238","12.668","12.876","13.765","11.355","10.697","11.941","",
"Belize","BLZ","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.09","","","","","","","","","","","","","","","","","","","11.6","11.997","11.216","11.016","9.532","14.021","12.734","","","","","",
"Bermuda","BMU","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.66","","","","","","","","","25.72","17.63","","","","29.74","","","","","","","","","","",
"Bolivia","BOL","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","18.04","22.82","","","","","","","","5.21","7.38","3.22","","","7.01","","","","","","","","4.284","4.269","","4.325","2.5","5.497","3.052","5.865","6.09","5.974","6.764","6.547","15.707","7.787","5.455","4.571","3.792",
"Brazil","BRA","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","6","4.17","6.22","6.6","6.576","7.629","","10.821","9.78","","11.067","11.781","13.472","15.305","16.773","","16.331","16.646","17.03","15.674","16.737","15.575","14.582","13.588","15.36","","13.234","12.825","12.886","12.905","16.279","23.063","24.913","24.495","23.212","26.398","24.182","17.644","15.621","13.444",
"Barbados","BRB","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","23.76","","","26.62","27.61","25","18.59","21.82","29.69","37.14","38.06","35.37","33.33","24.64","25.9","20.33","17.97","","20.57","20.46","24.11","","","","","","24.47","26.74","","","27.71","29.63","28.175","25.133","26.927","24.761","30.301","","25.729","17.489","19.874","",
"Brunei Darussalam","BRN","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.38","","","28.434","28.161","17.936","22.656","11.998","16.035","15.897","",
"Bhutan","BTN","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.67","7.11","6.76","7.3","9.16","8.58","8.23","","","15.388","9.749","19.18","16.891","24.351","12.241","16.955",
"Botswana","BWA","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","28.38","","","","","","20.16","","","","","33.531","","","","","33.91","","","","","27.662","","","26.719","29.59","37.78","","","","","","","","35.685","39.216","38.954","37.689","40.452","42.423",
"Central African Republic","CAF","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","13.036","14.521","14.64","12.918","13.386","13.709","20.654","21.785","19.101","17.34","15.998","14.342","12.4","12.182","13.536","18.532","19.734","19.689","17.902","16.336","16.878","17.128","16.548","15.302","13.842","14.5","15.389","15.345","14.969","14.11","12.866","12.154","12.877","17.96","16.972","15.74","15.76","14.823","14.862","14.632","14.41","12.79","11.937","12.064","20.741","14.49","11.178","11.511","14.31",
"Central Europe and the Baltics","CEB","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.1360060743774","18.4755250887678","23.2515867324506","26.1931261402881","29.8879828473043","31.345938184001","29.5106324404295","29.3305712448864","27.3670282924413","23.0862397440669","17.9598941689841","15.7908473225701","22.0321334075984","24.436367564049","25.0906847201517","25.6575289575043","25.8695146367954","22.8216496793836","20.4059259908937","17.411359350911","14.719711138622","12.3221881674366","11.3741208365174","13.2574451445838","14.3402038535125","13.2409431580208","14.466803052423","14.5209248656748",
"Switzerland","CHE","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2","3.072","3.229","6.167","4.862","4.74","5.205","7.959","4.707","5.644","5.617","5.747","7.145","8.287","8.036","8.458","7.923","6.813","6.667","7.941","7.765","7.575","8.631","8.716","8.635","9.231","8.759","8.15","8.411","8.796","9.175","8.352","6.856","8.091","8.019",
"Channel Islands","CHI","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","23.61","","","16.53","","12.54","12.25","13.35","11.54","9.73","10.33","12.02","","14.984","14.3","15.147","22.03","21.172","21.864","21.952","20.742","20.213","18.767","18.493","18.137","19.911","23.537","17.055","15.49","14.952","14.362","14.87","14","14.393","16.238","16.224","18.365","23.741","19.213","17.132","20.304","18.997",
"China","CHN","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.536","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.217","5.372","","","1.211","4.672","","3.371","","","3.984","","",
"Cameroon","CMR","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.981","","4.175","","","5.28","","","","5.813","","","","","","","5.181","","","",
"Congo, Dem. Rep.","COD","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.487","","","","","","","11.297","","","","","","","","2.176","","","","",
"Congo, Rep.","COG","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.975","","","","18.667","","","","","","","","","","","","","","","",
"Colombia","COL","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.73","11.65","","8.7","","15.4","","","","","22.453","22.186","20.163","20.145","17.816","","17.032","17.425","17.82","18.208","16.878","15.718","14.429","14.524","13.214","14.463","14.453","15.548","16.677","21.975","19.421","17.066","16.177","16.09",
"Comoros","COM","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.442","","","","","","","","","","20.019","","","","","","","8.944","","","",
"Cabo Verde","CPV","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.85","","","","","","","","","","","","","","","","","","","25.128","","","","","","58.512","","29.52","24.62","41.37","","","","","",
"Costa Rica","CRI","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.872","12.351","12.886","12.163","11.392","10.631","8.219","9.598","15.507","14.753","17.684","19.068","18.456","20.337","19.165","17.432","17.482","20.876","27.49","33.475","32.692","25.805","21.095","19.029",
"Caribbean small states","CSS","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.3545507272019","","","17.4485158331437","","","","","",
"Cuba","CUB","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.52","6.41","","7.231","","","","","","","","","","","","",
"Curacao","CUW","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.44","","38.13","","","","",
"Cayman Islands","CYM","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.93","","","","","","","","","","","","","","","11.21","10.85","13.58","","","24.24","24.05","32","18.11","16.38","","","","","","","","","",
"Cyprus","CYP","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.16","","","","","","","10.351","6.044","5.971","7.956","8.988","9.376","13.62","9.351","10.964","8.774","13.874","16.013","23.252","29.492","41.446","37.498","34.807","25.86","27.259","25.762","19.359","24.622","17.794","18.729","18.302","12.416",
"Czechia","CZE","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.14","","6.97","7.794","7.298","6.393","7.303","10.731","15.877","16.669","16.004","15.06","16.605","21.073","19.396","16.587","10.579","9.833","16.609","18.244","18.15","19.863","18.645","15.043","11.315","9.909","7.394","6.386","5.354","7.215","7.56","5.918","8.417","8.577",
"Germany","DEU","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","10.235","9.607","8.959","6.788","7.409","6.328","5.215","4.442","5.202","5.446","7.647","9.448","8.72","10.501","11.959","10.853","9.895","9.494","8.992","11.102","13.672","15.376","16.73","14.465","12.688","11.27","12.566","11.622","9.631","8.607","8.554","8.13","8.155","7.856","7.574","7.083","6.725","7.735","6.972","6.384","6.541","7.093",
"Djibouti","DJI","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.009","","","","","","","",
"Dominica","DMA","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.56","","","","","","","","36.31","","33.89","","26.01","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","18.075","12.417","10.047","7.012","7.953","8.141","10.693","11.434","10.735","12.134","14.485","10.161","7.788","8.969","6.608","6.701","9.467","6.507","7.323","8.829","10.623","8.469","8.646","7.888","7.637","8.712","15.26","17.928","18.21","16.754","16.254","15.57","13.173","13.525","12.909","11.815","10.376","12.61","10.705","10.648","11.767","14.968",
"Dominican Republic","DOM","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.231","9.343","9.178","10.436","8.848","10.92","7.242","8.639","6.883","8.423","8.084","10.837","11.976","11.939","9.32","12.133","11.637","9.9","10.286","11.819","11.6","11.524","10.03","9.515","10.036",
"Algeria","DZA","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.97","18.68","","24.92","21.6","22.29","26.722","22.072","25.66","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0742335185937","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.2189108397572","","","","","12.311146091907","","","","","11.357667641347","","12.4591667910816","","","","","","20.3779720725941","18.2604464201794","20.1037344151078","17.1120476425082","16.0776690976158","14.5033702381985","",
"East Asia & Pacific","EAS","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0653537455583","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.9061905691581","19.1409576204034","","","","22.1241945574413","20.0431065248449","","","18.7265649515048","21.1597009231939","20.2960022869888","20.7113162100693","","18.5154152906485","20.2579013679822","17.7334121389933","18.6267636108808","","","",
"Europe & Central Asia","ECS","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.6342461854059","","","","20.1891641228628","20.9546553899571","","","17.6447291594646","18.2111576384746","19.2819566452707","19.2832559298144","19.0348471124726","19.5874592023555","18.4443913388227","16.5081429494721","16.3639052661122","21.1598995081109","20.9203974379446","20.6795869009735","21.7800529247059","21.9747490280077","21.918472234763","21.0884997266716","20.1910497689727","18.1904749549686","17.4111467763407","16.995097215712","17.6226729188434","17.4749770180883","15.00566467613","14.8311623759044","14.3291836323337",
"Ecuador","ECU","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.06","15.08","17.58","","8.171","7.084","","10.601","9.14","6.7","6.553","6.61","7.835","8.145","7.607","7.451","7.473","6.893","7.488","7.176","7.95","6.57","6.415","6.856","8.725","6.872","6.562","6.084","6.743",
"Egypt, Arab Rep.","EGY","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.81","13.85","","19.15","21.39","","","","20.57","17.16","16.49","15.112","14.315","22.253","27.92","28.632","27.226","28.472","27.297","25.716","17.152","12.182","12.54","12.893","12.946","12.118","",
"Euro area","EMU","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","19.6684856892308","21.5938319633105","21.5571997780415","20.8187399819262","19.9780049310941","18.71158802988","16.1396028027079","14.9952236463279","15.9378877997381","16.636073726441","21.0825097956457","23.3189572172043","22.0090060632478","22.8812052606681","22.5721475852214","21.1283282646802","19.7506230673705","17.4196126141966","15.7677460905537","16.5297959987566","17.3382788226935","18.0195173485565","18.4100311898878","16.9143028976966","15.3614958073276","16.3994068598095","22.2859633205985","23.2790079347955","23.6341638391317","26.5567498946622","27.7469755180829","27.289091077699","25.9781125620276","24.1121480727022","21.8841754147494","19.8712254033642","18.3956264741138","19.9751038359608","19.2351059249934","16.8796269056327","16.8923463012006","16.4989813790766",
"Eritrea","ERI","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","12.29","17.04","21.19","27.69","33.88","37.96","40.45","44.87","45.65","44.19","38.435","35.189","27.509","25.663","25.227","27.804","38.877","41.129","36.368","36.511","33.645","29.266","22.924","19.628","16.412","16.819","19.158","19.444","16.717","14.992","15.223","23.586","39.063","43.08","48.153","54.124","56.223","53.429","48.647","44.04","39.549","35.246","30.922","37.087","34.007","28.653","28.815","26.038",
"Estonia","EST","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.599","3.02","6.898","9.36","10.998","12.357","15.194","21.023","17.158","22.223","22.138","18.202","17.207","23.792","26.833","16.113","9.977","12.177","12.61","31.558","35.659","23.818","22.828","17.758","19.278","15.48","17.289","14.69","12.899","11.229","18.355","18.398","20.977","18.371","18.949",
"Ethiopia","ETH","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.831","","","","","","2.627","","","","","","","","2.649","","","","","","","","4.645","","","",
